customer_id,receipt_id,total_price,category_item,primary_category,subcategory,mean,std,z_score
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,39.56,,,,,,
1,O-08BC6F6B4B744466BC6F6B4B74D46610,65.33,Stravovanie/null,Stravovanie,null,61.3901548318206,43.409489112666904,0.0907599985328956
1,O-2A9D704BFA8643819D704BFA86F381B5,24.01,Stravovanie/null,Stravovanie,null,61.3901548318206,43.409489112666904,-0.8611056152907606
1,O-38DD9372660F4B2A9D9372660FAB2A10,34.32,Stravovanie/null,Stravovanie,null,61.3901548318206,43.409489112666904,-0.6235999405927475
1,O-2A9D704BFA8643819D704BFA86F381B5,24.01,Stravovanie/null,Stravovanie,null,61.3901548318206,43.409489112666904,-0.8611056152907606
1,O-ECE09E3D7CA84D2EA09E3D7CA88D2ED1,3.0,Zdravie a osobná starostlivosť/null,Zdravie a osobná starostlivosť,null,29.137430340557273,26.379477316667348,-0.9908244210753508
1,O-2A9D704BFA8643819D704BFA86F381B5,24.01,Stravovanie/null,Stravovanie,null,61.3901548318206,43.409489112666904,-0.8611056152907606
1,O-38DD9372660F4B2A9D9372660FAB2A10,34.32,Stravovanie/null,Stravovanie,null,61.3901548318206,43.409489112666904,-0.6235999405927475
1,O-38DD9372660F4B2A9D9372660FAB2A10,34.32,Stravovanie/null,Stravovanie,null,61.3901548318206,43.409489112666904,-0.6235999405927475
1,O-38DD9372660F4B2A9D9372660FAB2A10,34.32,Stravovanie/null,Stravovanie,null,61.3901548318206,43.409489112666904,-0.6235999405927475
1,O-38DD9372660F4B2A9D9372660FAB2A10,34.32,Stravovanie/null,Stravovanie,null,61.3901548318206,43.409489112666904,-0.6235999405927475
